X0 Y0 helicalID MicrographName ShiftX ShiftY AngleRot AngleTilt AnglePsi
4623.800612 3637.377950 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.140838 3.794338 -119.28636 97.538925 144.518529
4572.158018 3601.794934 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.621088 -1.20566 -101.18518 103.317537 145.099755
4502.515423 3555.211918 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 6.140838 1.487338 -40.00109 81.114299 145.698778
4450.872828 3518.628902 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 3.794338 0.140838 -38.43210 112.294662 147.455819
4421.230234 3494.045886 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.794338 0.140838 -82.10364 88.811266 144.983198
4316.587639 3426.462870 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -2.20566 2.314088 -82.36717 88.587229 145.217547
4298.945045 3414.879854 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 7.140838 -2.20566 -40.97259 92.415687 145.581386
4245.302450 3377.296838 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 4.140838 -0.20566 -55.74367 102.045323 144.636966
4219.659855 3352.713822 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.487338 -0.03241 -82.19167 89.035062 145.334755
4141.017261 3303.130806 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 0.487338 -3.51266 -55.91938 101.892718 144.871294
4132.374666 3296.547790 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc -3.68591 2.487338 -123.24960 112.004191 145.103652
4016.732071 3212.964774 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 1.314088 0.314088 -82.54276 88.288590 145.569089
3988.089477 3204.381758 3 MotionCorr/job008/Movies/hole4/k40r_cflat_00015_4-4.mrc 4.140838 3.487338 -76.21363 86.649617 145.686976
